Rating Year,Number of Active Users,Number of Ratings,Number of Movies,Number of Ratings per Active User,Average Rating
1995,1,1,1,1.00000000000000000000,3.0000000000000000
1996,16366,104846,1246,6.4063301967493584,3.5390858974114415
1997,6788,45846,1432,6.7539776075427225,3.5827989355668979
1998,1932,20458,1845,10.5890269151138716,3.5120735164727735
1999,5963,78900,2683,13.2315948348146906,3.6206210392902408
2000,9295,127274,3456,13.6927380311995697,3.5810456181152474
2001,6330,75786,4018,11.9725118483412322,3.5399414139814742
2002,4724,58450,4769,12.3729889923793395,3.4641745081266039
2003,5259,68756,5346,13.0739684350637003,3.4742277037640351
2004,5302,76739,5841,14.4735948698604300,3.4287715503199156
2005,7735,118006,6306,15.2561085972850679,3.4373421690422521
2006,6069,76418,5920,12.5915307299390344,3.4639090266691094
2007,5537,70157,6184,12.6705797363193065,3.4660333252562111
2008,6397,76877,6181,12.0176645302485540,3.5386461490432769
2009,275,1485,1042,5.4000000000000000,3.4521885521885522
,68534,999999,9809,14.5912831587241369,3.5120325120325120
